Category,Round
STAMPS,Jeopardy!
THE KILLERS,Jeopardy!
SPOTT THA MISPELED WURD,Jeopardy!
THE BIG 10,Jeopardy!
GENERAL SCIENCE,Double Jeopardy!
INSTRUMENT ETYMOLOGY,Double Jeopardy!
FACIAL EXPRESSIONS,Double Jeopardy!
LIT MY FIRE,Double Jeopardy!
THE STAR'S TV SHOW & MOVIE,Double Jeopardy!
THE BIG 10-LETTER WORDS,Double Jeopardy!
RANKS & TITLES,Final Jeopardy!
WEATHER WORLD,Jeopardy!
ON THE COVER OF SGT. PEPPER,Jeopardy!
CLOTHING WORDS,Jeopardy!
MY PLACE?,Jeopardy!
IT'S A DATE!,Jeopardy!
"""J"" WHIZ",Jeopardy!
PLAYWRIGHTS,Double Jeopardy!
THE 1890s,Double Jeopardy!
AMERICAN NICKNAMES,Double Jeopardy!
"""S""-OTERICA",Double Jeopardy!
VIETNAM,Double Jeopardy!
TOUR OF JUDY,Double Jeopardy!
CANDY,Final Jeopardy!
HISTORIC NICKNAMES,Jeopardy!
"BIG, REALLY BIG!",Jeopardy!
POLITICAL MOVIES,Jeopardy!
THE 1990s,Jeopardy!
U.S. STATES,Jeopardy!
"CROSSWORD CLUES ""D""",Double Jeopardy!
CAPITOL THINKERS,Double Jeopardy!
MEET THE PARENTS,Double Jeopardy!
YOU SHOULD BE IN A BALLET!,Double Jeopardy!
GROSS NATIONAL PRODUCTS,Double Jeopardy!
POTPOURRI,Double Jeopardy!
THE PRESIDENCY,Final Jeopardy!
AFRICAN GEOGRAPHY,Jeopardy!
"BON APPE-""T""",Jeopardy!
AIN'T THAT AMERICA,Jeopardy!
WHY?,Jeopardy!
THE BUTLER DID IT,Jeopardy!
SCIENCE & NATURE,Double Jeopardy!
"THE MELBOURNE OLYMPICS, 1956",Double Jeopardy!
WRITERS CUBED,Double Jeopardy!
BRITISH ROYAL HOUSES,Double Jeopardy!
AND I QUOTE,Double Jeopardy!
"THE ""BUTLER"" DID IT",Double Jeopardy!
THEATRE,Final Jeopardy!
20th CENTURY QUOTES,Jeopardy!
ALL ABOARD THE SOUL TRAIN,Jeopardy!
WAR STORIES,Jeopardy!
EUROPE,Jeopardy!
WEEDS,Jeopardy!
"SEEING ""RED""",Jeopardy!
INITIAL T.V.,Double Jeopardy!
SAINTS BE PRAISED,Double Jeopardy!
MR. OR MS. WILLIAMS,Double Jeopardy!
AIN'T THAT AMERICA,Double Jeopardy!
"SOMETHIN' TO ""C""",Double Jeopardy!
PHYSICAL SCIENCE,Double Jeopardy!
FILM CLASSICS,Final Jeopardy!
NUMBERS,Jeopardy!
'65,Jeopardy!
FORE!,Jeopardy!
THREE,Jeopardy!
TWO,Jeopardy!
JUAN,Jeopardy!
KOREA,Double Jeopardy!
"""NEVER"" AT THE MOVIES",Double Jeopardy!
POLAR EXPLORATION,Double Jeopardy!
AIRPORT CODES,Double Jeopardy!
THAT'S NO LADY...,Double Jeopardy!
DOUBLE A,Double Jeopardy!
NONFICTION AUTHORS,Final Jeopardy!
THOSE DARN ETRUSCANS,Jeopardy!
PEOPLE,Jeopardy!
SO YOU WANT TO BE A 19th CENTURY HEROINE,Jeopardy!
CENTRAL PARK,Jeopardy!
THIS CATEGORY STINKS!,Jeopardy!
ABBREVIATED STATES,Jeopardy!
COLONIAL ARTS,Double Jeopardy!
INTERNATIONAL CUISINE,Double Jeopardy!
WE ARE THE CHAMPIONS,Double Jeopardy!
RELIGION,Double Jeopardy!
"PROBLEMS, PROBLEMS",Double Jeopardy!
"""EN"" THE BEGINNING",Double Jeopardy!
KNOWLEDGE BY THE NUMBERS,Final Jeopardy!
THE MIDDLE AGES,Jeopardy!
MANIAS,Jeopardy!
JEWELRY,Jeopardy!
AUSTRALIA,Jeopardy!
SPORTS EQUIPMENT,Jeopardy!
PEANUTS,Jeopardy!
U.S.A.,Double Jeopardy!
PEN NAMES,Double Jeopardy!
MYTHOLOGICAL PAIRS,Double Jeopardy!
11-LETTER WORDS,Double Jeopardy!
MUSICALS,Double Jeopardy!
FAMOUS NAMES,Final Jeopardy!
FAMOUS NAMES,Jeopardy!
ADVERTISING SLOGANS,Jeopardy!
THE BIBLE,Jeopardy!
WEATHER,Jeopardy!
4-LETTER WORDS,Jeopardy!
PRESIDENTIAL ASTROLOGY,Jeopardy!
PIRATE MOVIES,Double Jeopardy!
AUTHORS,Double Jeopardy!
AMERICAN HISTORY,Double Jeopardy!
WINE,Double Jeopardy!
CABLE TELEVISION,Final Jeopardy!
TEACHER'S PET,Jeopardy!
MUSIC VIDEOS,Jeopardy!
HOW DO YOU...,Jeopardy!
"TELL 'EM WHAT THEY'VE WON, JOHNNY",Jeopardy!
PIZZA TOPPINGS,Jeopardy!
ALLITERATION STATION,Jeopardy!
WOMEN ON U.S. STAMPS,Double Jeopardy!
MOVIE TITLE TRANSLATIONS,Double Jeopardy!
NATIONAL INVENTORS HALL OF FAME,Double Jeopardy!
JULIUS CAESAR,Double Jeopardy!
LOVE POETRY,Double Jeopardy!
WORDS IN (THE) ENCYCLOPEDIA,Double Jeopardy!
THE 50 STATES,Final Jeopardy!
FIRST NOVELS,Jeopardy!
CLASSIC AD LINES,Jeopardy!
LESSER-KNOWN MUSICALS,Jeopardy!
HORNS,Jeopardy!
IT'S A DOGGY DOG WORLD,Jeopardy!
"""MUM""s THE WORD",Jeopardy!
THE BIBLE,Double Jeopardy!
TELEVISION,Double Jeopardy!
LICENSE PLATE MOTTOS,Double Jeopardy!
BIG MERGERS,Double Jeopardy!
"""D"" IN HISTORY",Double Jeopardy!
ADJECTIVES,Double Jeopardy!
ASIA,Final Jeopardy!
TRIALS OF THE CENTURY,Jeopardy!
LET'S GET M*A*S*Hed,Jeopardy!
VALUABLE PLACES,Jeopardy!
NAME THE AUTOMAKER,Jeopardy!
THEATRE HODGEPODGE,Jeopardy!
"""PRO""NOUNS",Jeopardy!
HEADS OF STATE,Double Jeopardy!
MAGAZINES,Double Jeopardy!
RHYMES WITH STONEHENGE,Double Jeopardy!
QUEEN VICTORIA,Double Jeopardy!
WE ARE AMUSED,Double Jeopardy!
THE CAST OF THE TEN COMMANDMENTS,Double Jeopardy!
WORLD GEOGRAPHY,Final Jeopardy!
COLLEGES & UNIVERSITIES,Jeopardy!
SI's SIGNS OF THE APOCALYPSE,Jeopardy!
LITERARY GENRES,Jeopardy!
RECORD LOSSES IN 2005,Jeopardy!
"SO ""LONG""",Jeopardy!
& THANKS FOR ALL THE FISH,Jeopardy!
CANALS,Double Jeopardy!
NYPD TV,Double Jeopardy!
HIDDEN BOOKS OF THE BIBLE,Double Jeopardy!
INDEPENDENCE DAYS,Double Jeopardy!
BACK IN 1906,Double Jeopardy!
FROM THE LATIN,Double Jeopardy!
20th CENTURY BOOKS,Final Jeopardy!
NONFICTION PEOPLE,Jeopardy!
WHAT A WEEK,Jeopardy!
THE SILVER SCREEN,Jeopardy!
"ENGLAND, SCOTLAND OR WALES",Jeopardy!
THE TITANIC,Jeopardy!
"""TOO"" MUCH",Jeopardy!
HISPANIC HISTORY,Double Jeopardy!
THE LAST POPE OF THIS NAME,Double Jeopardy!
"""IBLE""S & BITS",Double Jeopardy!
SCIENCE GUYS,Double Jeopardy!
FUNNY FOR NOTHIN',Double Jeopardy!
CHICKENS FOR FREE,Double Jeopardy!
19th CENTURY POLITICIANS,Final Jeopardy!
IT HAPPENED IN NOVEMBER,Jeopardy!
INSTRUMENTS OF CHANGE,Jeopardy!
BOOK NAMES,Jeopardy!
WHAT ARE YOU DOING?,Jeopardy!
COVER ME!,Jeopardy!
"I'M GOING ""INN""",Jeopardy!
ASIAN CAPITALS,Double Jeopardy!
I LOVE L.A. KERS,Double Jeopardy!
COOKING EQUIPMENT FOOD,Double Jeopardy!
INTERNATIONAL NAMES,Double Jeopardy!
MYTHICAL CREATURES,Double Jeopardy!
"THE ""CO""-CATEGORY",Double Jeopardy!
PRESIDENTIAL ELECTIONS,Final Jeopardy!
A DICKENSIAN NIGHTMARE,Jeopardy!
UNIVERSITY SPORTS TEAMS,Jeopardy!
"""GENERAL"" JOB INFORMATION",Jeopardy!
BATTLE TO NAME THE WAR,Jeopardy!
MAGAZINE FEATURES,Jeopardy!
3-LETTER ABBREV.,Jeopardy!
BIBLICAL PEOPLE & PLACES,Double Jeopardy!
PHILMOGRAPHIES,Double Jeopardy!
ARTISTS' RETREATS,Double Jeopardy!
GET SMART,Double Jeopardy!
U.S. GEOGRAPHY,Double Jeopardy!
"""CH""ILL OUT!",Double Jeopardy!
INFLUENTIAL 19th CENTURY THINKERS,Final Jeopardy!
STATE OF THE UNION,Jeopardy!
CELEBRITY RHYME TIME,Jeopardy!
NORM!,Jeopardy!
"iPOD, YOUTUBE OR WII",Jeopardy!
ALL ASHORE FOR BIRD LORE,Jeopardy!
THE ENGLISH TOP 100,Jeopardy!
BRASS,Double Jeopardy!
STRINGS,Double Jeopardy!
WOOD & WIND,Double Jeopardy!
"""PER""CUSSION",Double Jeopardy!
CONDUCTORS,Double Jeopardy!
SYMPHONIES ON FILM,Double Jeopardy!
HISTORIC PROPERTY TRANSACTIONS,Final Jeopardy!
U.S. GEOGRAPHY,Jeopardy!
FIRST NAME'S THE SAME,Jeopardy!
NOVELS,Jeopardy!
BRIGHT IDEAS,Jeopardy!
TEENS IN HISTORY,Jeopardy!
RHYME TIME,Jeopardy!
CONSTITUTIONAL AMENDMENTS,Double Jeopardy!
SPORTS OF THE FEMALE OLYMPIANS,Double Jeopardy!
LOW CUT GENES,Double Jeopardy!
FINE DINING,Double Jeopardy!
TAKE OUT,Double Jeopardy!
MOUNTAINS,Final Jeopardy!
SIMPLE SCIENCE,Jeopardy!
ROCK MUSIC,Jeopardy!
AT THE BUILDING SITE,Jeopardy!
"HEY, GOOD-LOOKIN'",Jeopardy!
WHAT'CHA GOT COOKIN'?,Jeopardy!
LITERARY HOUSES,Double Jeopardy!
THE MAINE ATTRACTION,Double Jeopardy!
ACTRESSES,Double Jeopardy!
"CROSSWORD CLUES ""M""",Double Jeopardy!
IT'S GREEK MYTHOLOGY TO ME,Double Jeopardy!
TAKE A GUESS,Double Jeopardy!
FARAWAY PLACES,Jeopardy!
BIRDS! BIRDS! BIRDS!,Jeopardy!
CANDY & GUM SLOGANS,Jeopardy!
THOSE WACKY GERMANS,Jeopardy!
CARTOONS,Jeopardy!
"THE ""X"" FILES",Jeopardy!
THE CIVIL WAR,Double Jeopardy!
LANGUAGES,Double Jeopardy!
NURSERY RHYMES,Double Jeopardy!
ARE WE THERE YET?,Double Jeopardy!
CLASSICAL MUSIC,Double Jeopardy!
WHOSE IS IT?,Double Jeopardy!
EMPIRES,Final Jeopardy!
"A SHAKESPEARE PLAY, FOR OPENERS",Jeopardy!
THAT'S BUSINESS,Jeopardy!
NURSERY RHYMES,Jeopardy!
INLETS,Jeopardy!
"THE EVOLUTION OF ""M""USIC",Jeopardy!
FOREIGN,Jeopardy!
WHAT'S YOUR BEEF?,Double Jeopardy!
WEAPONS OF WORLD WAR II,Double Jeopardy!
THE LIVING PLANET,Double Jeopardy!
ACTING PRESIDENTS ON TV,Double Jeopardy!
4 N,Double Jeopardy!
SPORTS & THE MOVIES,Final Jeopardy!
WARNER BROS.,Jeopardy!
AMERICAN HISTORY,Jeopardy!
MORTAL MATTERS,Jeopardy!
BIRDS,Jeopardy!
LEVITICUS,Jeopardy!
AUTHORS' RHYME TIME,Jeopardy!
"THE ""W.B.""",Double Jeopardy!
AFRICAN ISLANDS,Double Jeopardy!
BILLS & WILLS,Double Jeopardy!
U.S. COLLEGES,Double Jeopardy!
CLASSICAL GASES,Double Jeopardy!
COUNTRY MUSIC,Double Jeopardy!
FICTION,Final Jeopardy!
SHIPS,Jeopardy!
FOOD FACTS,Jeopardy!
KING ARTHUR,Jeopardy!
NATURE,Jeopardy!
MISC.,Jeopardy!
"""KEY""s",Jeopardy!
CHILDREN'S LITERATURE,Double Jeopardy!
WYOMING,Double Jeopardy!
FIGURE SKATERS,Double Jeopardy!
ORGANIZED LABOR,Double Jeopardy!
THE MIDDLE AGES,Double Jeopardy!
VICE PRESIDENTS,Final Jeopardy!
COUNTRY MUSIC,Jeopardy!
"YOUR HONOR, I OBJECT!",Jeopardy!
GOOD CAUSES,Jeopardy!
BLARNEY,Jeopardy!
LESSER-KNOWN AMERICANS,Jeopardy!
THE LOYOLA OPPOSITION,Jeopardy!
MOVIE CITIES,Double Jeopardy!
WOMEN: WRITE ON!,Double Jeopardy!
GOAT-POURRI,Double Jeopardy!
EPONYMS,Double Jeopardy!
"""A"" SCIENCE CATEGORY",Double Jeopardy!
LAST NAME'S THE SAME,Double Jeopardy!
THE WESTERN HEMISPHERE,Final Jeopardy!
THE DIRECTOR SPEAKS,Jeopardy!
PLACES,Jeopardy!
"""LIGHT""s",Jeopardy!
CAMERA,Jeopardy!
ACTION!,Jeopardy!
WHERE'S MY COFFEE?,Jeopardy!
SHAKESPEAREAN OPERAS & BALLETS,Double Jeopardy!
BACKWARDS,Double Jeopardy!
CARTOONS,Double Jeopardy!
19th CENTURY AMERICA,Double Jeopardy!
MEN OF THE WORLD,Double Jeopardy!
FAMOUS VOYAGES,Final Jeopardy!
GENERAL INFORMATION,Jeopardy!
THE MOVIES,Jeopardy!
WEAPONRY,Jeopardy!
MEDICAL TALK,Jeopardy!
FICTIONAL CHARACTERS,Jeopardy!
"CROSSWORD CLUES ""F""",Jeopardy!
GENERAL INFORMATION,Double Jeopardy!
TV PRODUCERS,Double Jeopardy!
TOUGH BODIES OF WATER,Double Jeopardy!
"HELLO, DELI!",Double Jeopardy!
ALSO A BOOK IN THE BIBLE,Double Jeopardy!
"IS IT ""TEA"" TIME YET?",Double Jeopardy!
BEFORE THEY WERE SENATORS,Final Jeopardy!
CABLE CHANNELS,Jeopardy!
PROPHET SHARING,Jeopardy!
WOMEN OF THE WORLD,Jeopardy!
SWEET!,Jeopardy!
"""IND"" THE KNOW",Jeopardy!
RUSSIAN SCIENTISTS,Double Jeopardy!
CANADIAN FOOTBALL,Double Jeopardy!
GUYANESE GEOGRAPHY,Double Jeopardy!
TURKISH LITERATURE,Double Jeopardy!
CHINESE CALENDAR ANIMALS,Double Jeopardy!
BRAZILIAN WORDS & PHRASES,Double Jeopardy!
CLASSIC MOVIE CHARACTERS,Final Jeopardy!
THE BIG BANGLADESH,Jeopardy!
WHO'S THE MRS.?,Jeopardy!
TRANSPORTATION,Jeopardy!
MYTHELLANEOUS,Jeopardy!
NOW YOU'RE TALKING MY LANGUAGE,Jeopardy!
BIRD HUNTING,Jeopardy!
OSCARS OF THE '70s,Double Jeopardy!
THE STING,Double Jeopardy!
"""ROCK""Y",Double Jeopardy!
THE GODFATHER,Double Jeopardy!
DEAR JUNTA,Double Jeopardy!
THE FRENCH CONNECTION,Double Jeopardy!
SHAKESPEARE,Final Jeopardy!
5-LETTER CAPITALS,Jeopardy!
SPORTS,Jeopardy!
PRE-COLUMBIAN CULTURES,Jeopardy!
20th CENTURY INVENTION,Jeopardy!
ON THE MOVE,Jeopardy!
DOUBLE TALK,Jeopardy!
DIARIES,Double Jeopardy!
TOUGH MOVIE TRIVIA,Double Jeopardy!
"""O"" YOU ANIMAL!",Double Jeopardy!
INTERIOR DESIGN,Double Jeopardy!
NAME THE OPERA,Double Jeopardy!
PEOPLE WHO BECAME WORDS,Double Jeopardy!
TELEVISION & HISTORY,Final Jeopardy!
5 BANDS,Jeopardy!
THE REPLACEMENTS,Jeopardy!
THE FALL,Jeopardy!
'HUSKER DO,Jeopardy!
THE ENGLISH BEAT,Jeopardy!
"BIG ""STAR""",Jeopardy!
INSIDE THE ARTIST'S STUDIO WITH JAMES LIPTON,Double Jeopardy!
MAJOR LEAGUE BASEBALL NICKNAMES,Double Jeopardy!
"""O""PERA",Double Jeopardy!
WORLD MUSEUMS,Double Jeopardy!
LIFE SCIENCE,Double Jeopardy!
DOUBLE MEANINGS,Double Jeopardy!
LITERARY TITLES,Final Jeopardy!
PRESIDENTIAL LIBRARIES,Jeopardy!
SPORTS LEGENDS,Jeopardy!
BALLET,Jeopardy!
CHECK OUT MY CRIB,Jeopardy!
MOUNTAINS,Jeopardy!
WORDS,Jeopardy!
JULY,Double Jeopardy!
WHAT'S ON TV?,Double Jeopardy!
LAW ENFORCEMENT,Double Jeopardy!
LITERATURE,Double Jeopardy!
COMPANIES YOUNGER THAN YOU,Double Jeopardy!
SYNONYMS,Double Jeopardy!
ANIMALS,Final Jeopardy!
HISTORIC AMERICANS,Jeopardy!
NATIONAL FOODS,Jeopardy!
THE PLANET URANUS,Jeopardy!
PICTURE THIS,Jeopardy!
ALL MY Xs,Jeopardy!
LIVE IN TEXAS,Jeopardy!
FRENCH ART & ARTISTS,Double Jeopardy!
ON THE GO,Double Jeopardy!
3-NAMED AUTHORS,Double Jeopardy!
HORSE SENSE,Double Jeopardy!
THE EMPEROR NERO,Double Jeopardy!
"""BOO""!",Double Jeopardy!
IN THE DICTIONARY,Final Jeopardy!
IT BORDERS JUST ONE OTHER COUNTRY,Jeopardy!
21st CENTURY MUSIC,Jeopardy!
BABY NAMES A LA SHAKESPEARE,Jeopardy!
"YES, THAT'S ""WHITE""",Jeopardy!
WHEN THE SAINTS,Jeopardy!
"COME, HO CHI MINH",Jeopardy!
BALLETS WE'VE NEVER ASKED ABOUT BEFORE,Double Jeopardy!
BEST MOVIE QUOTES EVER!,Double Jeopardy!
6 CHARACTERS IN SEARCH OF AN AUTHOR,Double Jeopardy!
SYRIA'S EATING,Double Jeopardy!
UP IN THE AIR,Double Jeopardy!
ABBREV.,Double Jeopardy!
THE METROPOLITAN MUSEUM OF ART,Final Jeopardy!
THE 23rd PSALM,Jeopardy!
GOOD SPORTSMANSHIP,Jeopardy!
SILENCE,Jeopardy!
"""V""",Jeopardy!
PUSH BY SAFIRE,Jeopardy!
MAKE IT RIGHT,Jeopardy!
WORLD LEADERS,Double Jeopardy!
"THE TREES WERE ANGRY THAT DAY, MY FRIENDS",Double Jeopardy!
BESTSELLERS,Double Jeopardy!
DOW JONES INDUSTRIAL AVERAGE COMPANIES,Double Jeopardy!
PHOTOGRAPHERS,Double Jeopardy!
"SAY ""CHI""s",Double Jeopardy!
WORD AND PHRASE ORIGINS,Final Jeopardy!
AYE! IT'S IRELAND,Jeopardy!
PRESIDENTS IN THE CABINET,Jeopardy!
TV CASTS,Jeopardy!
GRAVE MATTERS,Jeopardy!
ARTISTS & THEIR WORKS,Jeopardy!
"""GREEN"" THINGS",Double Jeopardy!
LITERARY CHARACTERS,Double Jeopardy!
AVIARY,Double Jeopardy!
NUTRITION,Double Jeopardy!
MOVIE SONGS,Double Jeopardy!
OXYMORONS,Double Jeopardy!
SPORTS NAME ORIGINS,Final Jeopardy!
PSYCHOLOGY,Jeopardy!
MINERALS,Jeopardy!
"""MOON""S",Jeopardy!
BICYCLES,Jeopardy!
GREECE,Jeopardy!
STUPID ANSWERS,Jeopardy!
THE 1960s,Double Jeopardy!
COMPOSERS,Double Jeopardy!
GOVERNMENT,Double Jeopardy!
THE FUNNIES,Double Jeopardy!
INSECTS,Double Jeopardy!
GAMBLING,Final Jeopardy!
THE 1980s,Jeopardy!
ANIMATED FILMS,Jeopardy!
FROG ANATOMY,Jeopardy!
SWEET TREATS,Jeopardy!
LAW & GOVERNMENT,Double Jeopardy!
THE BYRDS & THE BEAS,Double Jeopardy!
DANCE,Double Jeopardy!
HOLIDAYS & OBSERVANCES,Double Jeopardy!
SHAKESPEAREAN CHARACTERS,Double Jeopardy!
20th CENTURY VICE PRESIDENTS,Final Jeopardy!
"GEOGRAPH""Y""",Jeopardy!
REQUIRED READING,Jeopardy!
HOMOPHONES,Jeopardy!
YOU DO THE MATH,Jeopardy!
ODDS & ENDS,Jeopardy!
THE SOLAR SYSTEM,Double Jeopardy!
HISTORY IN MOVIES,Double Jeopardy!
BALLET,Double Jeopardy!
THE SPOOKY & THE MYSTERIOUS,Double Jeopardy!
TRAVEL & TOURISM,Double Jeopardy!
QUOTATIONS,Double Jeopardy!
FAMOUS TEENAGERS,Final Jeopardy!
A LITERARY TOUR,Jeopardy!
COLORFUL GROUPS,Jeopardy!
UNFORESEEN FINDS,Jeopardy!
WHAT'S THAT SOUND?,Jeopardy!
"""B"" PREPARED",Jeopardy!
CAESAR,Double Jeopardy!
NEWMAN'S OWN,Double Jeopardy!
CATALINA,Double Jeopardy!
CRAFT,Double Jeopardy!
ITALIAN,Double Jeopardy!
DRESSING,Double Jeopardy!
WORLD CAPITALS,Final Jeopardy!
ISRAEL,Jeopardy!
ANAGRAMMED BIRDS,Jeopardy!
FRANCIS SCOTT KEY,Jeopardy!
I'LL MAKE A NOTE OF IT,Jeopardy!
FOOD CHAIN,Jeopardy!
HARRISON FORD MOVIES,Jeopardy!
THE PRODUCERS,Double Jeopardy!
HAIRY,Double Jeopardy!
LISA,Double Jeopardy!
ROCK-Y,Double Jeopardy!
GEHRY,Double Jeopardy!
"I'M ""L__X""",Double Jeopardy!
ANATOMY,Jeopardy!
